policy_id,dataset,num_rules,ga_fitness,ga_coverage,ga_diversity,ga_suite_size,ga_time_s,jcsce_fitness,jcsce_coverage,jcsce_diversity,jcsce_suite_size,jcsce_time_s,rand_fitness,rand_coverage,rand_diversity,rand_suite_size,rand_time_s,improvement_rand,improvement_jcsce
authzforce_0000.xml,authzforce,1,0.8154,1.0,0.0,9,0.206,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.027,27.41,21.34
authzforce_0001.xml,authzforce,1,0.8154,1.0,0.0,9,0.282,0.672,1.0,0.0,7,0.013,0.64,1.0,0.0,15,0.041,27.41,21.34
authzforce_0002.xml,authzforce,1,0.8154,1.0,0.0,9,0.178,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.022,27.41,21.34
authzforce_0003.xml,authzforce,1,0.8154,1.0,0.0,9,0.201,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.023,27.41,21.34
authzforce_0005.xml,authzforce,1,0.8154,1.0,0.0,9,0.167,0.672,1.0,0.0,7,0.01,0.64,1.0,0.0,15,0.024,27.41,21.34
authzforce_0006.xml,authzforce,1,0.8154,1.0,0.0,9,0.175,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.02,27.41,21.34
authzforce_0007.xml,authzforce,1,0.8154,1.0,0.0,9,0.179,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.027,27.41,21.34
authzforce_0009.xml,authzforce,1,0.9582,1.0,0.556,10,0.619,0.8493,1.0,0.6309,10,0.034,0.8287,1.0,0.6289,15,0.05,15.63,12.82
authzforce_0012.xml,authzforce,1,0.8154,1.0,0.0,9,0.178,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.025,27.41,21.34
authzforce_0014.xml,authzforce,1,0.8154,1.0,0.0,9,0.191,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.024,27.41,21.34
authzforce_0015.xml,authzforce,1,0.8154,1.0,0.0,9,0.228,0.672,1.0,0.0,7,0.01,0.64,1.0,0.0,15,0.031,27.41,21.34
authzforce_0016.xml,authzforce,1,0.8154,1.0,0.0,9,0.193,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.029,27.41,21.34
authzforce_0017.xml,authzforce,1,0.8154,1.0,0.0,9,0.255,0.672,1.0,0.0,7,0.009,0.64,1.0,0.0,15,0.027,27.41,21.34
authzforce_0018.xml,authzforce,1,0.8154,1.0,0.0,9,0.211,0.672,1.0,0.0,7,0.01,0.64,1.0,0.0,15,0.023,27.41,21.34
authzforce_0022.xml,authzforce,2,0.9592,1.0,0.5119,6,0.739,0.8479,1.0,0.6264,10,0.037,0.8195,1.0,0.5982,15,0.05,17.05,13.13
