policy_id,dataset,version,ga_coverage,jcsce_coverage
dypol_0007.xml,dypol,V0 (Original),1.0,1.0
dypol_0007.xml,dypol,V1 (insert),1.0,1.0
dypol_0007.xml,dypol,V2 (node_swap),1.0,1.0
dypol_0007.xml,dypol,V3 (node_swap),1.0,1.0
dypol_0007.xml,dypol,V4 (node_swap),1.0,1.0
dypol_0007.xml,dypol,V5 (insert),1.0,1.0
dypol_0019.xml,dypol,V0 (Original),1.0,1.0
dypol_0019.xml,dypol,V1 (subtree_replace),1.0,1.0
dypol_0019.xml,dypol,V2 (subtree_replace),1.0,1.0
dypol_0019.xml,dypol,V3 (node_swap),1.0,1.0
dypol_0019.xml,dypol,V4 (subtree_replace),1.0,1.0
dypol_0019.xml,dypol,V5 (subtree_replace),1.0,1.0
dypol_0001.xml,dypol,V0 (Original),1.0,1.0
dypol_0001.xml,dypol,V1 (insert),1.0,1.0
dypol_0001.xml,dypol,V2 (node_swap),1.0,1.0
dypol_0001.xml,dypol,V3 (subtree_replace),1.0,1.0
dypol_0001.xml,dypol,V4 (insert),1.0,1.0
dypol_0001.xml,dypol,V5 (node_swap),1.0,1.0
dypol_0020.xml,dypol,V0 (Original),1.0,1.0
dypol_0020.xml,dypol,V1 (insert),1.0,1.0
dypol_0020.xml,dypol,V2 (node_swap),1.0,1.0
dypol_0020.xml,dypol,V3 (node_swap),1.0,1.0
dypol_0020.xml,dypol,V4 (node_swap),1.0,1.0
dypol_0020.xml,dypol,V5 (node_swap),1.0,1.0
dypol_0029.xml,dypol,V0 (Original),1.0,1.0
dypol_0029.xml,dypol,V1 (insert),1.0,1.0
dypol_0029.xml,dypol,V2 (insert),1.0,1.0
dypol_0029.xml,dypol,V3 (insert),1.0,1.0
dypol_0029.xml,dypol,V4 (insert),1.0,1.0
dypol_0029.xml,dypol,V5 (insert),1.0,1.0
dypol_0039.xml,dypol,V0 (Original),1.0,1.0
dypol_0039.xml,dypol,V1 (insert),1.0,1.0
dypol_0039.xml,dypol,V2 (insert),1.0,1.0
dypol_0039.xml,dypol,V3 (node_swap),1.0,1.0
dypol_0039.xml,dypol,V4 (node_swap),1.0,1.0
dypol_0039.xml,dypol,V5 (node_swap),1.0,1.0
dypol_0002.xml,dypol,V0 (Original),1.0,1.0
dypol_0002.xml,dypol,V1 (node_swap),1.0,1.0
dypol_0002.xml,dypol,V2 (insert),1.0,1.0
dypol_0002.xml,dypol,V3 (insert),1.0,1.0
dypol_0002.xml,dypol,V4 (insert),1.0,1.0
dypol_0002.xml,dypol,V5 (insert),1.0,1.0
dypol_0021.xml,dypol,V0 (Original),1.0,1.0
dypol_0021.xml,dypol,V1 (insert),1.0,1.0
dypol_0021.xml,dypol,V2 (node_swap),1.0,1.0
dypol_0021.xml,dypol,V3 (insert),1.0,1.0
dypol_0021.xml,dypol,V4 (insert),1.0,1.0
dypol_0021.xml,dypol,V5 (node_swap),1.0,1.0
dypol_0026.xml,dypol,V0 (Original),1.0,1.0
dypol_0026.xml,dypol,V1 (subtree_replace),1.0,1.0
dypol_0026.xml,dypol,V2 (insert),1.0,1.0
dypol_0026.xml,dypol,V3 (node_swap),1.0,1.0
dypol_0026.xml,dypol,V4 (node_swap),1.0,1.0
dypol_0026.xml,dypol,V5 (subtree_replace),1.0,1.0
dypol_0027.xml,dypol,V0 (Original),1.0,1.0
dypol_0027.xml,dypol,V1 (insert),1.0,1.0
dypol_0027.xml,dypol,V2 (node_swap),1.0,1.0
dypol_0027.xml,dypol,V3 (subtree_replace),1.0,1.0
dypol_0027.xml,dypol,V4 (subtree_replace),1.0,1.0
dypol_0027.xml,dypol,V5 (subtree_replace),1.0,1.0
